"the age of consent",41221,1
agglomeration,33950,1
aggrandizement,14323,1
aggravation,36389,4
aggregation,108545,1
aggregate,5250,4
aggression,7923,4
aggressiveness,90178,1
aggressor,20198,2
aggro,23761,1
agility,95345,2
agitation,102787,4
agitator,32614,1
AGM,21908,1
agnostic,8345,1
agnosticism,100874,1
agony,6125,4
agoraphobia,31971,1
agreeableness,90668,1
agribusiness,32842,1
agriculture,42977,4
agriculturist,86322,1
agriculturalist,81354,1
agronomy,27166,1
agronomist,86315,1
aide,3073,4
aileron,13133,1
ailment,40226,4
aimlessness,96298,1
"floating on air",26175,1
"up in the air",11419,1
"air bed",40337,1
airbrush,3011,1
airdrop,6365,1
airfare,9512,1
airfield,7520,3
airhead,18760,2
airlift,20095,2
airline,17871,5
airliner,41089,1
airmail,27260,1
airman,14662,2
airplane,16177,4
airplay,26537,1
airship,13585,1
airsickness,100155,1
airspace,38070,2
airspeed,14337,1
airstrip,32965,2
airtime,41569,1
airwaves,8124,2
airway,11620,2
airworthiness,110727,1
airiness,89440,1
aisle,29482,4
"walk down the aisle",3792,1
alabaster,38334,2
alacrity,3846,1
alarmist,33458,2
alarmism,104636,1
albatross,14979,2
albino,4199,2
albinism,100756,1
albumen,38870,1
alchemy,11309,2
alchemist,86312,2
alcoholic,8350,5
alcoholism,25485,2
alcove,40747,2
alder,9928,1
alderman,3474,2
ale,36730,4
alehouse,16565,1
alertness,91493,1
alert,18709,4
alfalfa,42915,2
algae,15150,3
algebra,6600,4
algorithm,11760,3
alias,13387,2
alibi,13193,2
alien,17204,4
alienation,103693,4
alignment,10281,4
alimony,21363,2
alkali,20162,3
alkalinity,95382,1
Allah,1449,1
allegation,34378,4
allegiance,20678,3
allegory,9428,1
allegro,95,1
"Allen wrench",19466,1
allergen,24499,1
allergist,10674,1
allergy,1270,4
alleviation,103840,4
alley,25875,4
"up someone's alley",35341,1
alleyway,14142,1
"All Fools' Day",30016,1
"as all get-out",29034,1
alliance,19213,4
alligator,31267,2
alliteration,21075,2
allocation,104264,4
allotment,42038,4
allowance,20395,4
alloy,5880,4
allspice,3867,1
allure,31208,4
allusion,629,4
ally,1857,4
almanac,14873,1
almond,6141,2
almoner,27579,1
alms,24286,1
almshouse,37576,1
aloe,30442,2
aloofness,91437,1
alpaca,36803,1
